title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Book of Donair : Everything You Wanted to Know about the Halifax Street Food That Became Canada's Favourite Kebab,Lindsay Wickstrom,192,MacIntyre Purcell Publishing Inc.,2020-08-17,22.88,1.12,4.4,10,0,0,1,4,5,9781772761542,9781772761542,English,"Food, Drink"
The Book of Tea,"Kakuzo Okakura, 1stworldpublishing, 1stworldlibrary",72,1st World Publishing,2013-11-10,9.36,5.14,3.86,13112,248,854,3297,4796,3917,9781421850474,9781421850474,English,"Food, Drink"
The Book of Tea,Kakuzo Okakura,94,Spinebill Press,2020-10-20,10.03,3.77,3.86,13112,248,854,3297,4796,3917,3051425,9780648531593,English,"Food, Drink"
The Book of Tea,Okakura Kakuzo,42,Digireads.com,2019-06-13,8.73,1.77,3.86,13112,248,854,3297,4796,3917,9781420962116,9781420962116,English,"Food, Drink"
The Book of Tea,Kakuzo Okakura,84,Wilder Publications,2009-01-30,10.97,2.03,3.86,13112,248,854,3297,4796,3917,9781604596434,9781604596434,English,"Food, Drink"
The Book of Tea,Kakuzo Okakura,76,Cosimo Classics,2007-03-31,12.32,2.18,3.86,13112,248,854,3297,4796,3917,9781602060432,9781602060432,English,"Food, Drink"
The Book of Tea,Kakuzo Okakura,108,Akasha Classics,2009-03-12,22.45,5.45,3.86,12987,246,845,3269,4744,3883,3611029,9781605123776,English,"Food, Drink"
Book of Donair : Everything You Wanted to Know about the Halifax Street Food That Became Canada's Favourite Kebab,Lindsay Wickstrom,192,MacIntyre Purcell Publishing Inc.,2020-08-17,22.88,1.12,4.4,10,0,0,1,4,5,9781772761542,9781772761542,English,"Food, Drink"
The Book of Tea,Kakuzo Okakura,108,Akasha Classics,2009-03-12,22.45,5.45,3.86,12987,246,845,3269,4744,3883,3611029,9781605123776,English,"Food, Drink"
The Book of Tea,"Kakuzo Okakura, 1stworldpublishing, 1stworldlibrary",72,1st World Publishing,2013-11-10,9.36,5.14,3.86,13112,248,854,3297,4796,3917,9781421850474,9781421850474,English,"Food, Drink"
"Recipe Book : The Best Food Recipes That Are Delicious, Healthy, Great For Energy And Easy To Make",Ace Mccloud,48,Pro Mastery Publishing,2017-03-21,21.30,1.60,2.4,5,1,2,1,1,0,9781640483156,9781640483156,English,"Food, Drink"
The Book of Tea,Kakuzo Okakura,94,Spinebill Press,2020-10-20,10.03,3.77,3.86,13112,248,854,3297,4796,3917,3051425,9780648531593,English,"Food, Drink"
Detox Diet Book : The Detox Diet Guide for Detoxing for Health. Detox Cleanse for Your Optimum Detoxification Health,Melissa Doviak,84,WebNetworks Inc,2013-02-14,9.19,0.71,3.1,10,1,3,2,2,2,9781631876011,9781631876011,English,"Food, Drink"
Kids Recipes Book : 70 of the Best Ever Dinner Recipes That All Kids Will Eat....Revealed!,Samantha Michaels,54,Cooking Genius,2013-05-14,11.04,5.16,4.54,13,0,0,2,2,9,3640746,9781628840636,English,"Food, Drink"
Merrie Christmas Drink Book,Ruth Mccrea,64,Read Books,2010-08-04,18.54,9.46,4,1,0,0,0,1,0,3409901,9781445510088,English,"Food, Drink"
"A Book Of Fruits & Flowers : Shewing The Nature And Use Of Them, Either For Meat Or Medicine.",Anonymous,56,Lector House,2019-07-08,9.42,1.48,5,1,0,0,0,0,1,9789353445584,9789353445584,English,"Food, Drink"
Frootie and Her Fruity Friends : Mini Coloring Books For Kids,Jupiter Kids,106,Jupiter Kids,2016-04-01,13.47,2.83,4,1,0,0,0,1,0,9781683052166,9781683052166,English,"Food, Drink"
"Favorite Dishes : A Columbian Autograph Souvenir Cookery Book. Over Three Hundred Autograph Recipes, and Twenty-Three Portraits, Contributed by the Board of Lady Managers of the World's Columbian Exposition. Illustrated by May Root-Kern, Mellie Ingels Juli",Carrie V Shuman,274,Franklin Classics Trade Press,2018-10-17,24.26,0.69,2.91,11,1,3,4,2,1,9780343692469,9780343692469,English,"Food, Drink"
"Complete Book of Fire : Building Campfires for Warmth, Light, Cooking, and Survival",Buck Tilton,160,Menasha Ridge Press Inc.,2018-07-19,24.07,6.43,3.56,16,1,0,7,5,3,9781634042543,9781634042543,English,"Food, Drink"
