title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Chanel Bonfire : A Book Club Recommendation!,Wendy Lawless,320,Simon & Schuster,2013-11-12,16.53,0.47,3.74,6248,217,494,1548,2401,1588,576898,9781476745480,English,Biography
Women Warriors (M) : A History,David E. Jones,296,Potomac Books Inc,2005-07-31,9.62,5.38,3.75,51,0,6,16,14,15,980839,9781574887266,English,Biography
Beatle Books : From Genesis to Revolution,W Fraser Sandercombe,432,Collector's Guide Publishing,2009-07-16,20.34,6.66,3.5,2,0,0,1,1,0,3760900,9781926592008,English,Biography
How I Learned to Understand the World : BBC RADIO 4 BOOK OF THE WEEK,"Hans Rosling, Dr Anna Paterson",256,Hodder & Stoughton,2020-11-05,17.66,1.84,4.35,3304,7,23,349,1347,1578,522695,9781529327786,English,Biography
How I Learned to Understand the World : BBC RADIO 4 BOOK OF THE WEEK,"Hans Rosling, Dr Anna Paterson",256,Hodder & Stoughton,2020-11-05,18.63,5.87,4.35,3351,8,24,358,1364,1597,522767,9781529375022,English,Biography
Elizabeth Robins : Staging a Life,Angela V John,312,The History Press Ltd,2007-03-15,9.52,7.48,4.75,4,0,0,0,1,3,1173458,9780752440286,English,Biography
A Visible Man : The Top 5 Sunday Times bestseller and BBC Radio 4 Book of the Week,Edward Enninful,288,Bloomsbury Publishing PLC,2022-09-06,26.60,3.90,4.11,678,7,16,109,308,238,420047,9781526641533,English,Biography
Girls Like Us : Sunday Times Crime Book of the Month and New York Times bestseller,Cristina Alger,304,Hodder & Stoughton,2020-01-23,9.24,2.76,3.82,23603,144,944,6732,11043,4740,380154,9781529351682,English,Biography
The Letters of Marsilio Ficino: v. 3,"Marsilio Ficino, Language Department, School of Economic Science, Clement Salaman",176,Shepheard-Walwyn (Publishers) Ltd,1999-01-01,29.86,3.89,4,5,0,1,1,0,3,1251030,9780856830457,English,Biography
The Letters of Marsilio Ficino: v. 5,"Marsilio Ficino, Language Department, School of Economic Science, Clement Salaman",224,Shepheard-Walwyn (Publishers) Ltd,1994-01-01,31.25,2.50,5,2,0,0,0,0,2,1328636,9780856831294,English,Biography
