title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Windows into Old Testament History: Evidence, Argument and the Crisis of Biblical Israel","V. Philips Long, David W. Baker, Gordon John Wenham",216,William B Eerdmans Publishing Co,2002-05-03,16.89,8.51,3.27,15,2,1,4,7,1,838023,9780802839626,English,Religion
"Thinkers, Saints, Heretics : Spiritual Paths of the Middle Ages","Virginia Sease, Manfred Schmidt-Brabant, Marguerite V. Miller, Douglous Miller",224,Temple Lodge Publishing,2008-02-29,20.25,10.25,3.75,4,0,0,2,1,1,852498,9781902636900,English,Religion
Easy Does It:a Book Of Daily 12 Step Meditations,Anonymous,400,Hazelden Information & Educational Services,1994-04-19,16.45,1.05,4.36,11,1,0,1,1,8,643072,9781568385075,English,Religion
Why Did Jesus Have to Die?,Dr Jane Williams,64,SPCK Publishing,2019-05-01,4.67,1.73,3.92,12,0,1,2,6,3,559136,9780281074402,English,Religion
At the Heart of Christian Worship : Liturgical Essays of Yves Congar,"Yves Congar, OP, Paul Philibert, OP",176,Liturgical Press,2010-08-30,26.55,3.55,3.67,6,0,1,2,1,2,609577,9780814662298,English,Religion
Augustine: The City of God Books III and IV,"Augustine, Peter Walsh",252,Liverpool University Press,2008-01-30,34.45,16.05,5,1,0,0,0,0,1,1886952,9780856687587,Latin,Religion
The Book of Waking Up : Experiencing the Divine Love That Reorders a Life,"Seth Haines, Shauna Niequist",224,Zondervan,2020-02-06,14.70,0.80,4.21,540,11,13,80,183,253,879425,9780310353966,English,Religion
The Book Of Steps : The Syriac Liber Graduum,"Robert A. Kitchen, Maartien F. G. Parmentier",389,Liturgical Press,2004-11-01,50.43,0.47,3.8,5,0,0,2,2,1,867605,9780879076962,English,Religion
My People's Prayer Book : The Sh'Ma and it's Blessings,Lawrence A. Hoffman,168,Jewish Lights Publishing,2010-04-23,28.27,3.23,3.96,49,0,2,14,17,16,854212,9781879045798,English,Religion
Worship as a Way of Life,Louie Giglio,160,Multnomah Press,2017-12-19,13.15,2.85,4.05,1027,8,59,208,350,402,637674,9780735290716,English,Religion
From Ritual to Romance : The True Source of the Holy Grail (Aziloth Books),Jessie Laidlay Weston,148,Aziloth Books,2014-06-26,12.17,1.13,3.76,566,9,40,167,210,140,733516,9781909735545,English,Religion
Year of the Lord's Favour: Sanctoral Cycle v. 1 : A Homily for the Roman Liturgy,Aidan Nichols,220,GRACEWING,2012-10-19,20.02,3.48,4,1,0,0,0,1,0,704452,9780852447918,English,Religion
Healing the Wounded God : Finding Your Personal Guide on Your Way to Individuation and Beyond,"Jeffrey Raff, Linda Bonnington Vocatura",288,"Hays (Nicolas) Ltd ,U.S.",2004-07-21,19.90,0.10,4,29,0,4,4,9,12,573788,9780892540631,English,Religion
The Book of Enoch,"Anonymous, R H Charles",96,Digireads.com,2008-01-31,9.59,0.91,4,3923,101,251,810,1136,1625,902509,9781420930450,English,Religion
The Dawn of Tantra,"Herbert V. Guenther, Chögyam Trungpa",112,Shambhala Publications Inc,2001-11-13,14.85,2.65,3.98,63,0,1,20,21,21,848204,9781570628962,English,Religion
"In the Mystic Footsteps of Saints, Vol. 2",Shaykh Nazim Adil Al-Haqqani,108,Islamic Supreme Council of America,2002-03-01,9.21,1.79,4.58,79,2,0,5,15,57,780118,9781930409095,English,Religion
Work and Our Labor in the Lord,"James M. Hamilton Jr., Dane C. Ortlund, Miles V. Van Pelt",128,Crossway Books,2017-01-31,10.48,5.52,4.01,188,0,5,42,88,53,334064,9781433549953,English,Religion
"The Book of the Shepherd : The Story of One Simple Prayer, and How It Changed the World",Joann Davis,224,HarperCollins Publishers Inc,2011-03-15,14.55,0.45,3.66,169,9,14,48,53,45,887454,9780061732409,English,Religion
The Reality of God and Historical Method - Apocalyptic Theology in Conversation with N. T. Wright,Samuel V. Adams,297,InterVarsity Press,2015-12-09,29.45,12.05,3.38,8,0,2,2,3,1,764507,9780830849147,English,Religion
The Little Book of Kaizen,Suzannah Lee,96,Octopus Publishing Group,2020-09-01,7.61,2.39,3,1,0,0,1,0,0,851995,9781856754293,English,Religion
"How to Read Classical Tibetan, Vol. 1: : Summary of the General Path",Craig Preston,240,Shambhala Publications Inc,2005-06-25,38.25,9.25,4.12,8,0,0,2,3,3,673967,9781559391788,English,Religion
The Ultimate Bible Quiz Book,Douglas A. Jacoby,240,"Harvest House Publishers,U.S.",2011-02-01,14.56,1.44,4,11,0,0,3,5,3,764238,9780736930512,English,Religion
Women and Christianity: Vol 1,M. Malone,276,Orbis Books (USA),2001-03-18,19.62,1.38,3.76,34,0,2,14,8,10,729052,9781570753664,English,Religion
"Koren Talmud Bavli: v. 20 : Sota, English",Rabbi Adin Steinsaltz,328,Koren Publishers,2015-08-21,52.18,0.82,4.8,5,0,0,0,1,4,688164,9789653015814,English,Religion
Mother Seton and the Sisters of Charity,Alma Powers-Water,168,Ignatius Press,2000-07-19,13.12,0.88,4,45,2,3,5,18,17,553644,9780898707663,English,Religion
So You Think You Know About Chapter? (Aziloth Books),Ray Hudson,132,Aziloth Books,2015-02-13,19.17,1.93,5,1,0,0,0,0,1,1488141,9781909735743,English,Religion
Llewellyn's Little Book of Yule,Jason Mankey,240,"Llewellyn Publications,U.S.",2020-10-01,14.25,2.25,3.87,83,3,3,21,31,25,1169251,9780738763071,English,Religion
"90 Days in John 14-17, Romans & James : Wisdom for the Christian life","Dr Timothy Keller, Sam Allberry",288,The Good Book Company,2017-01-01,19.21,1.79,4.33,57,1,0,8,18,30,487603,9781784981228,English,Religion
Path of Muhammad : A Book on Islamic Morals and Ethics,"Imam Birgivi, Tosun Bayrak al-Jerrahi Al-Halveti",400,World Wisdom Books,2005-04-07,21.19,1.81,4.37,27,0,0,5,7,15,48306,9780941532686,English,Religion
The Reality of God and Historical Method - Apocalyptic Theology in Conversation with N. T. Wright,Samuel V. Adams,297,InterVarsity Press,2015-12-09,29.45,12.05,3.38,8,0,2,2,3,1,764507,9780830849147,English,Religion
Path of Muhammad : A Book on Islamic Morals and Ethics,"Imam Birgivi, Tosun Bayrak al-Jerrahi Al-Halveti",400,World Wisdom Books,2005-04-07,21.19,1.81,4.37,27,0,0,5,7,15,48306,9780941532686,English,Religion
"The Golden Legend, Volume II : Readings on the Saints","Jacobus De Voragine, William Granger Ryan",416,Princeton University Press,1995-04-09,46.16,3.84,4.11,65,0,4,12,22,27,405570,9780691001548,English,Religion
The New Creation and the Storyline of Scripture,"Frank Thielman, Miles V. Van Pelt, Dane C. Ortlund",144,Crossway Books,2021-01-12,6.91,8.09,3.74,38,2,2,10,14,10,726385,9781433559556,English,Religion
1 and 2 Samuel : An Introduction And Commentary,V. Philips Long,512,Inter-Varsity Press,2020-04-16,23.83,6.57,4.4,10,0,0,2,2,6,776200,9781783599509,English,Religion
"What, Then, Is Liturgy? : Musings and Memoir","Anscar J. Chupungco, OSB, Keith F. Pecklers, SJ",272,Liturgical Press,2010-08-15,32.70,2.40,4.11,9,0,0,3,2,4,574833,9780814662397,English,Religion
"NKJV, Know The Word Study Bible, Leathersoft, Brown/Caramel, Red Letter : Gain a greater understanding of the Bible book by book, verse by verse, or topic by topic",Thomas Nelson,1920,Thomas Nelson Publishers,2016-11-17,54.49,1.01,4.67,255,4,6,9,33,203,285893,9780718081553,English,Religion
Kundalini - An Occult Experience (Aziloth Books),George Sidney Arundale,92,Aziloth Books,2016-04-06,9.91,2.69,3.19,16,3,4,2,1,6,1985208,9781911405009,English,Religion
A Book of Life : Embracing Judaism as a Spiritual Practice,Michael Strassfeld,508,Jewish Lights Publishing,2006-08-17,25.01,7.99,4.14,84,0,2,12,42,28,836896,9781580232470,English,Religion
The Seven Books of History Against the Pagans : Vol. 50,Origen,438,The Catholic University of America Press,2001-12-30,53.85,0.15,5,2,0,0,0,0,2,1865428,9780813213101,English,Religion
