title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"Rose Guns Days Season 1, Vol. 3",Ryukishi07,208,"Little, Brown & Company",2016-03-22,12.10,0.40,3.25,20,1,2,11,3,3,1242307,9780316391511,English,"Crime, Thriller"
"Love Story, With Murders : Fiona Griffiths Crime Thriller Series Book 2",Harry Bingham,464,Orion Publishing Co,2014-03-13,12.41,0.09,4.03,2879,32,102,535,1285,925,136849,9781409137238,English,"Crime, Thriller"
The Edge of the Shadows : Book 3 of The Edge of Nowhere Series,Elizabeth George,384,Hodder & Stoughton,2016-01-07,10.41,2.09,3.68,1063,19,74,369,367,234,42520,9781444720082,English,"Crime, Thriller"
The Mx Book of New Sherlock Holmes Stories Part III: 1896 to 1929,David Marcum,440,MX Publishing,2015-10-01,31.36,1.64,4.16,69,1,2,12,24,30,1208778,9781780928548,English,"Crime, Thriller"
The MX Book of New Sherlock Holmes Stories - Part X : 2018 Annual (1896-1916) (MX Book of New Sherlock Holmes Stories Series),David Marcum,436,MX Publishing,2018-05-22,31.29,1.71,4.46,39,0,4,0,9,26,1133598,9781787052840,English,"Crime, Thriller"
"Bell, Book, and Scandal",Jill Churchill,256,HarperCollins Publishers Inc,2004-11-01,8.92,1.08,3.44,976,45,129,335,287,180,1044514,9780060099008,English,"Crime, Thriller"
"A Brush with Death (Bob Skinner series, Book 29) : A high profile murder. A long list of suspects. Police Scotland know just the man to send in . . .",Quintin Jardine,416,Headline Publishing Group,2019-06-18,11.83,0.67,4.26,442,3,11,69,146,213,226963,9781472238917,English,"Crime, Thriller"
A Death in the Dales : Book 7 in the Kate Shackleton mysteries,Frances Brody,384,"Little, Brown Book Group",2015-10-01,9.82,1.58,3.93,1444,8,35,352,698,351,63218,9780349406565,English,"Crime, Thriller"
I Am Number Four : (Lorien Legacies Book 1),Pittacus Lore,400,Penguin Books Ltd,2011-02-03,12.49,0.41,3.94,333364,8383,21926,71834,111688,119533,17631,9780241953570,English,"Crime, Thriller"
Serpentine : A short story from the world of His Dark Materials and The Book of Dust,"Philip Pullman, Tom Duxbury",80,Penguin Random House Children's UK,2020-10-15,9.80,0.70,3.8,7381,55,334,2260,3114,1618,2429,9780241475249,English,"Crime, Thriller"
The Killing Kind : Private Investigator Charlie Parker takes on evil in the third book in the globally bestselling series,John Connolly,384,HODDER & STOUGHTON,2015-02-16,11.71,0.79,4.23,12806,84,249,1847,5109,5517,50726,9781444704709,English,"Crime, Thriller"
"Triage X, Vol. 20",Shouji Sato,176,"Little, Brown & Company",2020-10-06,12.21,2.79,3,12,2,3,2,3,2,267964,9781975315870,English,"Crime, Thriller"
"Fallen Gods (Bob Skinner series, Book 13) : An unmissable Edinburgh crime thriller of intrigue and secrets",Quintin Jardine,416,Headline Publishing Group,2004-03-01,9.92,0.08,4.1,430,2,12,89,163,164,210825,9780747263890,English,"Crime, Thriller"
Sherlock: The Hound of the Baskervilles,Arthur Conan Doyle,256,Ebury Publishing,2012-06-01,13.24,2.26,4.13,314565,2211,8635,56911,124759,122049,55858,9781849904094,English,"Crime, Thriller"
Broken Homes : Book 4 in the #1 bestselling Rivers of London series,Ben Aaronovitch,368,Orion Publishing Co,2014-05-08,7.61,3.89,4.17,43835,147,701,6723,20298,15966,2178,9780575132481,English,"Crime, Thriller"
If Books Could Kill : A Bibliophile Mystery,Kate Carlisle,304,Penguin Putnam Inc,2011-07-15,9.19,0.81,3.91,5526,52,250,1422,2232,1570,155281,9780451228918,English,"Crime, Thriller"
Cradle to Grave : DI Marjory Fleming Book 6,Aline Templeton,416,Hodder & Stoughton,2011-03-31,11.58,0.92,4.03,438,4,19,85,183,147,443806,9780340976999,English,"Crime, Thriller"
Jinxed : A Regan Reilly Mystery,Carol Higgins Clark,352,Simon & Schuster,2009-01-27,10.35,0.65,3.86,2746,36,158,779,947,826,461846,9780743412322,English,"Crime, Thriller"
Trouble On The Books : A Castle Bookshop Mystery,Essie Lang,1,Crooked Lane Books,2020-02-13,17.52,0.98,3.53,921,20,97,341,298,165,2653473,9781643853499,English,"Crime, Thriller"
Death of the Mantis (Detective Kubu Book 3),Michael Stanley,416,Headline Publishing Group,2012-01-19,10.12,2.38,3.9,1587,55,92,279,690,471,519670,9780755381166,English,"Crime, Thriller"
"Three Novels : Kingdom Cons, Signs Preceding the End of the World, The Transmigration of Bodies","Yuri Herrera, Lisa Dillman",288,AND OTHER STORIES,2021-09-14,20.90,6.10,4.1,60,0,2,12,24,22,25628,9781913505240,English,"Crime, Thriller"
"ACCA, Vol. 3",Natsume Ono,192,Yen Press,2018-06-05,14.25,1.75,4.02,61,0,1,17,23,20,313963,9780316446679,English,"Crime, Thriller"
Between a Book and a Hard Place,Denise Swanson,288,Penguin Putnam Inc,2016-03-01,8.97,0.03,3.95,571,7,24,137,227,176,57785,9780451477767,English,"Crime, Thriller"
That Awful Mess On The Via Merulana,Carlo Emilio Gadda,400,"The New York Review of Books, Inc",2009-10-28,18.11,0.89,3.63,2816,144,334,731,808,799,100918,9781590172223,English,"Crime, Thriller"
The Mad and the Bad,"Jean-Patrick Manchette, Donald Nicholson-Smith, James Sallis",184,"The New York Review of Books, Inc",2014-07-15,15.46,2.54,3.74,1076,17,66,315,459,219,37777,9781590177204,English,"Crime, Thriller"
Lady in the Car with the Glasses and the Gun,"Gallic  Books, Sebastien Japrisot, Helen Weaver and Gallic  Books",240,Gallic Books,2019-07-25,9.82,1.68,3.94,1315,18,59,314,515,409,464136,9781910477724,English,"Crime, Thriller"
A Pound Of Flesh : Book 9 in the Sunday Times bestselling detective series,Alex Gray,480,"Little, Brown Book Group",2013-02-05,12.70,3.80,3.97,747,12,41,168,261,265,108687,9780751543841,English,"Crime, Thriller"
"The Song of a Dark Angel (Hugh Corbett Mysteries, Book 8) : Murder and treachery abound in this gripping medieval mystery",Paul Doherty,249,Headline Publishing Group,1994-09-29,8.71,3.79,4.3,767,4,10,104,281,368,297840,9780747244325,English,"Crime, Thriller"
"As Serious As Death (Primavera Blackstone series, Book 5) : A thrilling mystery of revenge and conspiracy",Quintin Jardine,352,Headline Publishing Group,2014-11-01,12.95,1.05,3.87,176,7,8,47,53,61,678398,9780755357147,English,"Crime, Thriller"
