title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Raspberry Pi & Hacking : 2 Books in 1: THE BLUEPRINT: Everything You Need To Know,Cyberpunk Architects,158,Cyberpunk Architects,2018-01-31,21.27,5.23,1,2,2,0,0,0,0,9781775235743,9781775235743,English,Computing
Suzuki Violin School Vol.6 (Cd-Rom/Midi),Linda Perry,2,"Alfred Publishing Co Inc.,U.S.",2002-08-01,12.99,11.51,4.2,5,0,0,1,2,2,1451239,9781589513051,English,Computing
Become an Awesome Software Architect : Book 1: Foundation 2019,Anatoly Volkhover,192,Independently Published,2019-10-07,40.27,6.04,3.92,40,0,2,14,9,15,1745429,9781697271065,English,Computing
BioJava,Kaladhar D S V G K,208,LAP Lambert Academic Publishing,2012-06-24,62.31,16.69,2,1,0,1,0,0,0,3888067,9783659167508,English,Computing
High-Level Synthesis Blue Book,Michael Fingeroff,332,Xlibris US,2010-05-21,94.58,41.42,4,3,0,1,0,0,2,1720663,9781450097246,English,Computing
Dust Warefare Campaign Book: Icarus,Andy Chambers,63,Fantasy Flight Games,2016-07-14,7.46,9.54,2,1,0,1,0,0,0,1924088,9781616616472,English,Computing
The Importance of Book Cover Design and Formatting,Jd Smith,128,Quinn Publications,2016-03-18,14.03,20.97,3.85,26,1,2,5,10,8,1892193,9780957616493,English,Computing
"Writing Books for Fun, Fame, and Fortune!",Rik Feeney,166,RICHARDSON PUBLISHING,2018-08-01,22.23,5.97,4.67,3,0,0,0,1,2,9781935683070,9781935683070,English,Computing
Microsoft Hyper-V Cluster Design,Eric Siron,462,Packt Publishing Limited,2013-10-22,68.92,5.78,4,3,0,0,0,3,0,1596625,9781782177685,English,Computing
How to Loan and Borrow Kindle Books : Easy Step on How to Loan and Borrow Kindle Books,James Collins,40,Independently Published,2018-12-19,7.03,1.27,3,1,0,0,1,0,0,9781791796211,9781791796211,English,Computing
Street Fighter Unlimited Vol.2 TP : The Heart of Battle,"Ken Siu-Chong, Matt Moylan, Chris Mowry, Brendon Tapper, Joe Ng, Edwin Huang, Jeffrey Chamba Cruz, Hanzo Steinbach",160,Udon Entertainment Corp,2018-07-10,18.89,3.11,4,4,0,0,2,0,2,1371595,9781772940527,English,Computing
Adobe Acrobat DC Classroom in a Book,"Lisa Fridsma, Brie Gyncild",336,Pearson Education (US),2019-04-14,48.82,6.18,3.42,12,0,2,4,5,1,1831290,9780135495643,English,Computing
Developing Expert CAD Systems,V. Begg,118,Kluwer Academic Publishers Group,1987-06-30,85.28,7.80,2,1,0,1,0,0,0,9781850912989,9781850912989,English,Computing
The Best Damn Cybercrime and Digital Forensics Book Period,"Jack Wiles, Anthony Reyes",736,"Syngress Media,U.S.",2008-02-28,50.82,10.38,3,1,0,0,1,0,0,9781597492287,9781597492287,English,Computing
"Sensing, Intelligence, Motion - How Robots and Humans Move in an Unstructured World",V Lumelsky,456,John Wiley & Sons Inc,2005-11-22,148.53,51.87,4,1,0,0,0,1,0,9780471707400,9780471707400,English,Computing
Adobe XD CC Classroom in a Book (2018 release),Brian Wood,320,Pearson Education (US),2018-05-01,51.92,5.08,3.43,7,0,1,3,2,1,1292134,9780134686592,English,Computing
Introduction to the Theory of Error-Correcting Codes 3e,V Pless,224,John Wiley & Sons Inc,1998-07-28,147.33,58.17,3.44,9,2,0,2,2,3,9780471190479,9780471190479,English,Computing
Corpus Linguistics by the Lune: v. 8 : A Festschrift for Geoffrey Leech,"Patrick James Melia, Andrew Wilson, Paul Rayson, Tony McEnery, Barbara Lewandowska-Tomaszcyk",306,Peter Lang AG,2003-09-04,56.72,22.03,5,1,0,0,0,0,1,9783631509524,9783631509524,English,Computing
"Children, Gender, Video Games : Towards a Relational Approach to Multimedia",V. Walkerdine,235,Palgrave Macmillan,2007-05-15,136.81,39.69,3.2,5,1,0,2,1,1,9780230517172,9780230517172,English,Computing
Computer Education for Teachers - Integrating Technology into Classroom Teaching 6e,V Sharp,416,John Wiley & Sons Inc,2008-12-16,145.73,14.27,4,1,0,0,0,1,0,2992101,9780470141106,English,Computing
TommyInnit Says...The Quote Book : THE SUNDAY TIMES BESTSELLER,"Tom Simons, Will Gold",208,Quercus Publishing,2022-10-13,14.83,3.67,4.63,654,5,9,38,117,485,1487,9781529427974,English,Computing
The Art and Science of Interface and Interaction Design (Vol. 1),"Christa Sommerer, Laurent Mignonneau",190,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2008-09-03,159.99,11.20,2.5,2,1,0,0,1,0,9783540798699,9783540798699,English,Computing
Minecraft Joke Book,Mojang AB,96,HarperCollins Publishers,2019-08-08,6.01,0.49,3.78,32,3,3,7,4,15,34961,9781405295253,English,Computing
The Code Book : The Secret History of Codes and Code-Breaking,Simon Singh,416,HarperCollins Publishers,2000-07-06,13.44,0.36,4.29,25562,300,569,2917,9519,12257,27368,9781857028898,English,Computing
High-Level Synthesis Blue Book,Michael Fingeroff,332,Xlibris,2010-09-29,53.53,11.77,4,3,0,1,0,0,2,9781453584682,9781453584682,Japanese,Computing
"Kali Linux 2018: Assuring Security by Penetration Testing : Unleash the full potential of Kali Linux 2018, now with updated tools, 4th Edition","Shiva V. N Parasram, Alex Samm, Damian Boodoo, Gerard Johansen, Lee Allen, Tedi Heriyanto, Shakeel Ali",528,Packt Publishing Limited,2018-10-30,48.37,9.43,4.67,3,0,0,0,1,2,3707851,9781789341768,English,Computing
Designing a Book Cover When You Aren't a Designer : Creating Stunning Book Covers with Canva In Minutes,Scott La Counte,44,SL Editions,2019-10-29,12.75,0.95,4,1,0,0,0,1,0,9781087816678,9781087816678,English,Computing
"Kali Linux 2018: Assuring Security by Penetration Testing : Unleash the full potential of Kali Linux 2018, now with updated tools, 4th Edition","Shiva V. N Parasram, Alex Samm, Damian Boodoo, Gerard Johansen, Lee Allen, Tedi Heriyanto, Shakeel Ali",528,Packt Publishing Limited,2018-10-30,48.37,9.43,4.67,3,0,0,0,1,2,3707851,9781789341768,English,Computing
Handbook on Project Management and Scheduling Vol.1,"Christoph Schwindt, Jürgen Zimmermann",663,Springer International Publishing AG,2016-09-24,107.68,12.31,4,1,0,0,0,1,0,9783319342955,9783319342955,English,Computing
Windows Server 2012 Hyper-V: Deploying the Hyper-V Enterprise Server Virtualization Platform,Zahir Hussain Shah,410,Packt Publishing Limited,2013-03-25,58.81,3.69,4.67,3,0,0,0,1,2,1772123,9781849688345,English,Computing
Sixth Edition Exercises and Projects for the Little SAS Book,Rebecca A. Ottesen,150,SAS Institute,2020-01-31,30.59,4.21,4.4,10,0,0,1,4,5,1956977,9781642952841,English,Computing
Expert Searching in the Google Age,Terry Ann Jankowski,102,ROWMAN & LITTLEFIELD,2016-12-05,39.05,17.85,3.83,6,0,0,2,3,1,1350406,9781442239654,English,Computing
The Intelligent Enterprise in the Era of Big Data,V Srinivasan,216,John Wiley & Sons Inc,2016-11-22,29.82,21.98,3.8,5,0,0,1,4,0,2521606,9781118834626,English,Computing
Logic as a Tool - A Guide to Formal Logical Reasoning,V Goranko,380,John Wiley & Sons Inc,2016-10-21,58.52,0.48,4,2,0,0,1,0,1,2518212,9781118880005,English,Computing
Fundamentals of Pervasive Information Management Systems,V Kumar,400,John Wiley & Sons Inc,2013-11-05,84.33,5.47,3.25,4,1,0,1,1,1,2123912,9781118024249,English,Computing
After the Book : Information Services for the 21st Century,George Stachokas,224,Woodhead Publishing Ltd,2014-08-18,50.78,8.17,4,3,0,0,1,1,1,2661117,9781843347392,English,Computing
The Internet Book : Everything You Need to Know about Computer Networking and How the Internet Works,Douglas E. Comer,376,Taylor & Francis Ltd,2018-09-15,92.82,4.18,3.33,6,1,0,2,2,1,2525551,9781138330290,English,Computing
"Kali Linux 2018: Assuring Security by Penetration Testing : Unleash the full potential of Kali Linux 2018, now with updated tools, 4th Edition","Shiva V. N Parasram, Alex Samm, Damian Boodoo, Gerard Johansen, Lee Allen, Tedi Heriyanto, Shakeel Ali",528,Packt Publishing Limited,2018-10-30,48.37,9.43,4.67,3,0,0,0,1,2,3707851,9781789341768,English,Computing
"The XBRL Book : Simple, precise, technical",Ghislain Fourny,184,Createspace Independent Publishing Platform,2017-01-10,18.92,4.23,3.75,4,0,0,2,1,1,2609127,9781535117746,English,Computing
Principles of Neural Information Processing,"Werner v. Seelen, Konstantin Behrend",102,Springer International Publishing AG,2015-07-09,102.28,4.71,3,1,0,0,1,0,0,9783319201122,9783319201122,English,Computing
HDL with digital design (Bk/CD) H/C : VHDL and Verilog,Nazeih M. Botros,650,MERCURY LEARNING & INFORMATION,2015-03-31,78.99,1.01,4,1,0,0,0,1,0,9781938549816,9781938549816,English,Computing
"Modern Computer Architecture and Organization : Learn x86, ARM, and RISC-V architectures and the design of smartphones, PCs, and cloud servers",Jim Ledin,560,Packt Publishing Limited,2020-04-30,67.34,2.56,4.64,25,0,0,1,7,17,463449,9781838984397,English,Computing
Getting Started with V Programming : An end-to-end guide to adopting the V language from basic variables and modules to advanced concurrency,Navule Pavan Kumar Rao,408,Packt Publishing Limited,2021-12-10,43.95,2.15,4.6,5,0,0,0,2,3,9781839213434,9781839213434,English,Computing
The World of Warcraft Pop-Up Book,Matthew Reinhart,6,Titan Books Ltd,2019-10-25,44.32,16.18,4,9,0,0,3,3,3,1475724,9781789092561,English,Computing
Book Reviews for Author Success : How to win great reviews to make your book shine,Barb Drozdowich,96,Barb Drozdowich,2019-02-09,11.46,3.34,4.11,9,0,0,2,4,3,9781988821238,9781988821238,English,Computing
Information Technologies in Medicine 2 Vol Set,M Akay,500,John Wiley & Sons Inc,2001-07-23,185.86,22.14,3.5,2,0,0,1,1,0,9780471414933,9780471414933,English,Computing
Interactive Applications Using Matplotlib,Benjamin V. Root,174,Packt Publishing Limited,2015-03-26,32.71,5.09,3,1,0,0,1,0,0,9781783988846,9781783988846,English,Computing
"The XBRL Book : Simple, precise, technical",Ghislain Fourny,350,Independently Published,2021-01-01,27.74,0.97,3.75,4,0,0,2,1,1,1989459,9798584926281,English,Computing
Digital Technology and the Future of Broadcasting : Global Perspectives,John V. Pavlik,252,Taylor & Francis Ltd,2015-07-22,142.16,24.34,4,2,0,0,0,2,0,9781138891227,9781138891227,English,Computing
The VR Book : Human-Centered Design for Virtual Reality,Jason Jerald,523,Morgan & Claypool Publishers,2015-09-30,123.92,55.38,4.2,54,0,1,8,24,21,1787023,9781970001150,English,Computing
Wordpress: The Missing Manual : The Book That Should Have Been in the Box,Matthew MacDonald,496,O'Reilly Media,2020-11-17,39.54,14.46,3.98,244,3,12,50,100,79,41849,9781492074168,English,Computing
Information Security - A Strategic Approach,V LeVeque,288,John Wiley & Sons Inc,2006-05-09,81.44,30.66,3.6,5,0,0,3,1,1,1665475,9780471736127,English,Computing
"Exercises and Projects for The Little SAS Book, Sixth Edition",Rebecca A. Ottesen,150,SAS Institute,2020-01-31,33.62,0.18,4.4,10,0,0,1,4,5,3648524,9781642956177,English,Computing
Technological Innovation and Economic Performance,"Benn Steil, David G. Victor, Richard R. Nelson",488,Princeton University Press,2002-02-03,80.27,9.73,4,3,0,0,1,1,1,2438379,9780691090917,English,Computing
Publishing a Book on Amazon's Kindle Direct Publishing : A simplified guide for absolute beginners,John Monyjok Maluth,196,INDEPENDENTLY PUBLISHED,2018-10-15,17.50,3.50,5,1,0,0,0,0,1,9781728808888,9781728808888,English,Computing
"Exercises and Projects for The Little SAS Book, Sixth Edition",Rebecca A. Ottesen,150,SAS Institute,2020-01-31,33.62,0.18,4.4,10,0,0,1,4,5,3648524,9781642956177,English,Computing
"Guiding Rights : Trademarks, Copyright and the Internet",Attorney Mark V B Partridge,156,iUniverse,2003-08-18,18.59,0.21,4.5,2,0,0,0,1,1,9780595290550,9780595290550,English,Computing
Arcade Treasures,Bill Kurtz,176,Schiffer Publishing Ltd,1997-01-06,44.21,5.79,5,1,0,0,0,0,1,2494510,9780887406195,English,Computing
The Frugal Book Promoter - 3rd Edition : How to get nearly free publicity on your own or by partnering with your publisher,Carolyn Howard-Johnson,292,Modern History Press,2019-09-01,34.06,3.64,5,2,0,0,0,0,2,9781615994694,9781615994694,English,Computing
