title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
Gas Well Deliquification,"James F. Lea, Henry V. Nickens",608,Elsevier Science & Technology,2008-05-15,57.70,12.66,4,2,0,0,1,0,1,1097444,9780750682800,English,"Technology, Engineering"
"What Makes Up the Universe? Stars, Planets, Solar Systems and Galaxies Astronomy Guide Book Grade 3 Children's Astronomy & Space Books",Baby Professor,76,Baby Professor,2019-08-01,24.72,5.68,2,1,0,1,0,0,0,3551482,9781541975460,English,"Technology, Engineering"
Principles of Neural Information Theory : Computational Neuroscience and Metabolic Efficiency,James V Stone,214,Tutorial Introductions,2018-05-26,70.34,15.46,4.15,13,0,0,3,5,5,2500872,9780993367960,English,"Technology, Engineering"
Northr's Yf-17 Cobra: a Pictorial History,Don Logan,64,Schiffer Publishing Ltd,1997-01-08,20.84,0.16,3,1,0,0,1,0,0,1548301,9780887409103,English,"Technology, Engineering"
Artificial Superintelligence : A Futuristic Approach,Roman V. Yampolskiy,227,Apple Academic Press Inc.,2015-06-19,42.61,4.89,3.67,15,2,0,4,4,5,2179881,9781482234435,English,"Technology, Engineering"
A Cameo from the Past : The Prehistory and Early History of the Kruger National Park,U. de V. Pienaar,767,Protea Boekhuis,2013-04-14,77.34,2.16,5,2,0,0,0,0,2,2238258,9781869191955,English,"Technology, Engineering"
Are We There Yet? All About the Planet Mercury! Space for Kids - Children's Aeronautics & Space Book,Baby Professor,42,Baby Professor,2017-02-15,12.68,3.62,2,1,0,1,0,0,0,1957453,9781683269281,English,"Technology, Engineering"
Reliability Centered Maintenance-Reengineered : Practical Optimization of the RCM Process with RCM-R (R),"James V. Reyes-Picknell, Jesus R. Sifonte",349,Taylor & Francis Inc,2017-04-14,55.79,2.21,5,1,0,0,0,0,1,2171529,9781498785174,English,"Technology, Engineering"
The Unfamiliar Garden : The Comet Cycle Book 2,Benjamin Percy,224,Hodder & Stoughton,2022-07-09,8.95,2.45,3.8,657,9,41,180,268,159,1332897,9781473690158,English,"Technology, Engineering"
The Message of the Atoms : Essays on Wolfgang Pauli and the Unspeakable,Kalervo V. Laurikainen,206,Springer-Verlag Berlin and Heidelberg GmbH & Co. KG,2011-09-18,74.47,11.08,4,2,0,0,0,2,0,2783661,9783642644573,English,"Technology, Engineering"
Plastics End Use Applications,Donald V. Rosato,119,Springer-Verlag New York Inc.,2011-08-04,66.21,7.29,5,1,0,0,0,0,1,2567668,9781461402442,English,"Technology, Engineering"
Are We There Yet? All About the Planet Neptune! Space for Kids - Children's Aeronautics & Space Book,Baby Professor,42,Baby Professor,2017-02-15,12.68,3.62,2,1,0,1,0,0,0,1957452,9781683269274,English,"Technology, Engineering"
Are We There Yet? All About the Planet Uranus! Space for Kids - Children's Aeronautics & Space Book,Baby Professor,42,Baby Professor,2017-02-15,12.68,3.42,2,1,0,1,0,0,0,1957778,9781683269267,English,"Technology, Engineering"
Camouflage Uniforms of Eurean and NATO Armies: 1945 to the Present,J.F. Borsarello,120,Schiffer Publishing Ltd,2004-09-13,30.75,1.25,4.67,3,0,0,0,1,2,1428529,9780764310188,English,"Technology, Engineering"
Are We There Yet? All About the Planet Venus! Space for Kids - Children's Aeronautics & Space Book,Baby Professor,42,Baby Professor,2017-02-15,12.68,3.42,4,1,0,0,0,1,0,1754473,9781683269298,English,"Technology, Engineering"
Our Solar System : Astronomy Books For Kids - Intergalactic Kids Book Edition,Baby Professor,42,Baby Professor,2016-04-01,20.34,7.16,5,1,0,0,0,0,1,2663383,9781683056492,English,"Technology, Engineering"
Foundations of Electrodynamics,Parry Moon,320,Dover Publications Inc.,2013-08-30,20.17,0.83,3.5,2,0,0,1,1,0,1666442,9780486497037,English,"Technology, Engineering"
Fundamentals of Hydro- and Aeromechanics,"Ludwig Prandtl, O.G. Tietjens, L. Rosenhead",270,Dover Publications Inc.,2011-12-08,23.08,2.92,2.75,4,0,2,1,1,0,1666455,9780486603742,English,"Technology, Engineering"
The U.S. Naval Institute on NAVAL STRATEGY,Thomas J. Cutler,212,Naval Institute Press,2015-12-30,11.90,17.40,4.67,3,0,0,0,1,2,1871439,9780870211133,English,"Technology, Engineering"
Global Silk Industry : A Complete Source Book,"Rajat Datta, Mahesh Nanavaty",428,Universal Publishers,2005-02-28,34.56,2.84,4.5,2,0,0,0,1,1,2206128,9781581124934,English,"Technology, Engineering"
