title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
50 books in 1 : How To Books,Htebooks,518,Createspace Independent Publishing Platform,2016-07-02,86.32,6.31,3,1,0,0,1,0,0,9781535038041,9781535038041,English,Reference
Black Books Galore! : Guide to More Great African American Children's Books,"Donna Rand, Toni Trent Parker",256,John Wiley & Sons Inc,2001-07-20,18.31,6.59,4.11,9,0,1,1,3,4,3008065,9780471375258,English,Reference
"Battle of the Books : Literary Censorship in the Public Schools, 1950-1985",Lee Burress,395,Scarecrow Press,1992-07-01,84.22,13.78,3.5,2,0,1,0,0,1,9780810821514,9780810821514,English,Reference
Fishing Log Book,Speedy Publishing Llc,50,Speedy Publishing Books,2015-04-13,10.98,4.82,5,1,0,0,0,0,1,1369370,9781681450384,English,Reference
The Complete Book of Emigrants,Peter Wilson Coldham,620,Genealogical Publishing Company,2009-10-09,51.36,2.94,4.38,8,0,0,0,5,3,1257104,9780806311920,English,Reference
The Tea Recipe Book : 50 Hot and Iced Teas from Lattes to Bobas,Nicole Wilson,118,Rockridge Press,2022-05-17,16.80,0.20,4.46,13,0,1,0,4,8,34984,9781638783466,English,Reference
The Little Book of Ties,François Chaille,120,Editions Flammarion,2001-11-10,6.44,5.56,4,4,0,1,0,1,2,1282021,9782080106254,English,Reference
"Chemical Oscillations, Waves, and Turbulence",Y. Kuramoto,164,Dover Publications Inc.,2003-08-05,18.38,1.62,4.5,2,0,0,0,1,1,861743,9780486428819,English,Reference
Study Guide for Book Clubs : The Vanishing Half,Kathryn Cope,78,Draft2Digital,2020-11-11,10.04,1.06,4.33,9,0,0,1,4,4,52151,9781393580454,English,Reference
The Librarian's Book of Lists,George M. Eberhart,128,American Library Association,2010-07-01,17.50,1.60,3.5,101,0,15,35,37,14,1173783,9780838910634,English,Reference
More Bullies in More Books,C.J. Bott,208,Scarecrow Press,2009-06-28,51.63,16.17,3,4,0,0,4,0,0,9780810866546,9780810866546,English,Reference
The Rare Books of Freemasonry,Lionel Vibert,54,Read Books,2019-05-02,11.19,2.31,3,1,0,0,1,0,0,9781528712835,9781528712835,English,Reference
"Books in Manuscript : A Short Introduction to Their Study and Use, with a Chapter on Records",Falconer Madan,224,Nabu Press,2011-09-23,24.31,1.68,5,5,0,0,0,0,5,9781246498127,9781246498127,English,Reference
"A List of Books : With References to Periodicals, Relating to Railroads in Their Relation to the Government and the Public","Appleton Prentiss Clark Griffin, Library of Congress Division of Bibliog",144,Sagwan Press,2018-02-02,16.88,0.62,5,2,0,0,0,0,2,9781376529586,9781376529586,English,Reference
"Matthew Parker and His Books : Sandars Lectures in Bibliography delivered on 14, 16, and 18 May 1990",RI Page,149,Medieval Institute Publications,1993-07-01,44.74,19.76,5,1,0,0,0,0,1,9781879288201,9781879288201,English,Reference
Rare Books and Their Prices,William Roberts,188,BIBLIOLIFE,2009-06-30,18.94,4.05,5,1,0,0,0,0,1,9781110585045,9781110585045,English,Reference
The Super Book of Useless Information : The Most Powerfully Unnecessary Things You Never Need to Know,Don Voorhees,272,Penguin Putnam Inc,2011-10-04,14.55,0.95,3.85,73,4,3,19,21,26,1244654,9780399536960,English,Reference
The Hebridean Birthday Book,Mairi Hedderwick,112,Birlinn General,2018-07-10,9.82,4.18,4.67,3,0,0,0,1,2,1289375,9781780275383,English,Reference
Tooth And Nail,Charles Harrington Elster,368,Houghton Mifflin,2004-05-17,16.60,2.40,2.97,184,29,38,59,25,33,736931,9780156013826,English,Reference
"Quotations from Chairman Mao Tse-tung: ""The Little Red Book""",Mao Tse-Tung,194,Lulu.com,2020-03-20,15.15,1.35,3.4,2776,271,393,772,639,701,714879,9780359468416,English,Reference
The Complete Book of Bible Trivia,J. Stephen Lang,494,Tyndale House Publishers,2004-07-30,18.73,0.27,4.08,38,0,2,8,13,15,1257852,9780842304214,English,Reference
"Digital Forensics with Kali Linux : Perform data acquisition, data recovery, network forensics, and malware analysis with Kali Linux 2019.x, 2nd Edition",Shiva V. N Parasram,334,Packt Publishing Limited,2020-04-17,41.76,3.64,4.25,4,0,0,1,1,2,1287883,9781838640804,English,Reference
