title,authors,number_of_pages,publisher,publication_date,price_in_euros,discount_in_euros,rating,number_of_votes_goodreads,number_of_votes_one_star,number_of_votes_two_stars,number_of_votes_three_stars,number_of_votes_four_stars,number_of_votes_five_stars,bestsellers_rank,isbn13,language,category
"John Constantine, Hellblazer Vol. 4: The Family Man","Jamie Delano, Various",288,DC Comics,2012-11-20,21.23,6.27,4.1,1907,7,58,358,799,685,46356,9781401236908,English,Fiction
"Bleach, Vol. 24",Tite Kubo,208,"Viz Media, Subs. of Shogakukan Inc",2009-01-05,9.38,0.12,4.33,5546,36,131,806,1559,3014,53265,9781421516035,English,Fiction
Grimgar of Fantasy and Ash: Light Novel Vol. 3,"Ao Jyurmonji, Eiri Shirai",280,"Seven Seas Entertainment, LLC",2017-10-10,12.25,1.75,4.3,785,2,20,100,284,379,34936,9781626926622,English,Fiction
"Durarara!!, Vol. 1","Ryohgo Narita, Suzuhito Yasuda, Akiyo Satorigi",176,"Little, Brown & Company",2012-01-24,12.40,0.10,4.24,3730,62,138,560,1066,1904,50690,9780316204903,English,Fiction
"Don't Be Cruel, Vol. 10",Yonezou Nekota,186,"Viz Media, Subs. of Shogakukan Inc",2022-08-18,10.61,2.39,4.26,82,0,1,10,38,33,10767,9781974725267,English,Fiction
"Bleach, Vol. 23",Tite Kubo,208,"Viz Media, Subs. of Shogakukan Inc",2009-01-05,9.49,1.01,4.32,6006,44,147,882,1710,3223,48808,9781421515410,English,Fiction
"BEASTARS, Vol. 19",Paru Itagaki,208,"Viz Media, Subs. of Shogakukan Inc",2022-08-18,11.89,1.11,4.22,935,4,26,141,356,408,22453,9781974726042,English,Fiction
Poison Study,Maria V. Snyder,416,Mira Books,2007-03-01,15.67,2.33,4.1,159307,3074,6806,26198,58020,65209,53312,9780778324331,English,Fiction
"Laid-Back Camp, Vol. 2",Afro,160,Yen Press,2018-06-05,11.45,2.55,4.27,714,1,11,111,263,328,58544,9780316517829,English,Fiction
"Barakamon, Vol. 1",Satsuki Yoshino,208,"Little, Brown & Company",2014-10-28,14.91,0.09,4.28,2280,20,59,314,752,1135,59177,9780316336086,English,Fiction
Fingers: Vol. 37,"Lo Hartog Van Banda, 'Morris'",48,Cinebook Ltd,2012-10-25,9.65,0.35,3.8,464,6,24,148,165,121,50405,9781849181389,English,Fiction
"Booked on a Feeling : A poignant, sexy, and laugh-out-loud bookshop romance!",Jayci Lee,320,Headline Publishing Group,2022-07-26,11.44,1.06,3.36,4767,163,591,1919,1562,532,2036,9781472277138,English,Fiction
"Re:ZERO -Starting Life in Another World-, Vol. 19 LN","Tappei Nagatsuki, Shinichirou Otsuka",260,"Little, Brown & Company",2022-07-26,13.12,2.88,4.43,127,1,0,12,45,69,22783,9781975335298,English,Fiction
Miss Kobayashi's Dragon Maid Vol. 3,Coolkyousinnjya,180,"Seven Seas Entertainment, LLC",2017-05-09,11.10,2.40,4.23,514,1,8,94,180,231,37996,9781626924857,English,Fiction
"Fullmetal Alchemist, Vol. 27",Hiromu Arakawa,200,"Viz Media, Subs. of Shogakukan Inc",2011-12-20,9.68,0.32,4.74,5269,10,22,194,851,4192,50239,9781421539843,English,Fiction
"Bleach, Vol. 18",Tite Kubo,216,"Viz Media, Subs. of Shogakukan Inc",2008-09-01,10.39,0.11,4.35,9138,103,229,1234,2407,5165,47463,9781421510422,English,Fiction
"Splatoon, Vol. 4",Sankichi Hinodeya,160,"Viz Media, Subs. of Shogakukan Inc",2018-10-04,8.84,0.16,4.37,258,3,8,33,60,154,22282,9781974701865,English,Fiction
"re:Zero Starting Life in Another World, Vol. 10 (light novel)","Tappei Nagatsuki, Shinichirou Otsuka",240,"Little, Brown & Company",2019-06-18,14.41,0.59,4.48,419,1,5,32,133,248,9314,9781975383169,English,Fiction
"Record of Ragnarok, Vol. 4","Shinya Umemura, Takumi Fukui, Azychika",200,"Viz Media, Subs. of Shogakukan Inc",2022-11-24,11.86,1.64,4.18,600,7,6,113,219,255,2412,9781974729784,English,Fiction
Gotham Central Book 1: In the Line of Duty,"Greg Rucka, Ed Brubaker, Michael Lark",240,DC Comics,2011-07-13,15.85,5.15,4.35,4860,28,86,518,1738,2490,37398,9781401220372,English,Fiction
The Human Target Book One,"Tom King, Greg Smallwood",192,DC Comics,2022-09-27,26.01,4.49,4.34,309,1,6,27,127,148,10365,9781779516701,English,Fiction
"So I'm a Spider, So What?, Vol. 14 LN","Okina Baba, Tsukasa Kiryu",260,"Little, Brown & Company",2022-06-21,14.11,1.89,4.45,417,2,10,40,113,252,5295,9781975341756,English,Fiction
"Monthly Girls' Nozaki-kun, Vol. 3",Izumi Tsubaki,144,"Little, Brown & Company",2016-06-07,11.46,1.44,4.44,1884,8,20,185,592,1079,35216,9780316391580,English,Fiction
Goblin Slayer Vol. 4 (light novel),Kumo Kagyu,208,Yen on,2017-12-19,13.39,1.61,4.06,596,5,29,121,213,228,59112,9780316411882,English,Fiction
"BEASTARS, Vol. 9",Paru Itagaki,208,"Viz Media, Subs. of Shogakukan Inc",2020-12-24,11.83,0.17,4.47,1868,4,14,144,648,1058,5609,9781974708062,English,Fiction
Batman: Earth One Vol. 2,"Geoff Johns, Gary Frank, Various",144,Dc Comics,2016-06-21,14.39,1.61,4.25,5081,15,103,645,2144,2174,45087,9781401262518,English,Fiction
Ender's Game : Book 1 of the Ender Saga,Orson Scott Card,352,"Little, Brown Book Group",2016-10-04,9.58,1.92,4.31,1285119,22438,39877,149239,384542,689023,57740,9780356500843,English,Fiction
"Blue Flag, Vol. 6",KAITO,232,"Viz Media, Subs. of Shogakukan Inc",2021-04-01,12.33,0.67,4.55,3520,3,28,226,1021,2242,4058,9781974713066,English,Fiction
"Ao Haru Ride, Vol. 12",Io Sakisaka,192,"Viz Media, Subs. of Shogakukan Inc",2020-09-03,10.17,0.33,4.4,5249,19,109,615,1527,2979,23795,9781974708222,English,Fiction
"Re:ZERO -Starting Life in Another World-, Vol. 20 LN","Tappei Nagatsuki, Shinichirou Otsuka",280,"Little, Brown & Company",2022-11-22,14.96,1.04,4.58,101,0,0,5,32,64,21809,9781975335311,English,Fiction
